image_path,file_name,block_number,classification,extracted_id,photo_detections,photo_crops
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/1.jpg,B1/1.jpg,1,loose_photo,"{'parcel': '29', 'block': '1', 'confidence': 'high'}",[],"[""B1/B1_P29__photo1.jpg""]"
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/2.jpg,B1/2.jpg,1,loose_photo,"{'parcel': '29', 'block': '1', 'confidence': 'high'}",[],"[""B1/B1_P29__photo2.jpg""]"
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/3.jpg,B1/3.jpg,1,appraisal_form,"{'parcel': '29', 'block': '1', 'confidence': 'high'}",[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/4.jpg,B1/4.jpg,1,description_of_improvement,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/5.jpg,B1/5.jpg,1,loose_photo,"{'parcel': '26', 'block': '1', 'confidence': 'high'}",[],"[""B1/B1_P26__photo1.jpg""]"
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/6.jpg,B1/6.jpg,1,loose_photo,"{'parcel': '26', 'block': '1', 'confidence': 'high'}",[],"[""B1/B1_P26__photo2.jpg""]"
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/7.jpg,B1/7.jpg,1,appraisal_form,"{'parcel': '26', 'block': '1', 'confidence': 'high'}",[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/8.jpg,B1/8.jpg,1,description_of_improvement,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/9.jpg,B1/9.jpg,1,loose_photo,"{'parcel': '25', 'block': '1', 'confidence': 'high'}",[],"[""B1/B1_P25__photo1.jpg""]"
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/10.jpg,B1/10.jpg,1,appraisal_form,"{'parcel': '25', 'block': '1', 'confidence': 'high'}",[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/11.jpg,B1/11.jpg,1,description_of_improvement,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/12.jpg,B1/12.jpg,1,loose_photo,"{'parcel': '24', 'block': '1', 'confidence': 'high'}",[],"[""B1/B1_P24__photo1.jpg""]"
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/13.jpg,B1/13.jpg,1,appraisal_form,"{'parcel': '24', 'block': '1', 'confidence': 'high'}",[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/14.jpg,B1/14.jpg,1,description_of_improvement,,[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/15.jpg,B1/15.jpg,1,loose_photo,"{'parcel': '23', 'block': '1', 'confidence': 'high'}",[],"[""B1/B1_P23__photo1.jpg""]"
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/16.jpg,B1/16.jpg,1,appraisal_form,"{'parcel': '23', 'block': '1', 'confidence': 'high'}",[],[]
/Users/liam/Documents/R-51 appraisal reports_files/Bradberry appraisals 1962/B1/17.jpg,B1/17.jpg,1,description_of_improvement,,[],[]
